                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2333,                 0.6603,                 0.8878,                0.97991,                0.95306,                0.97092,                0.54292,                  1.221,                0.68272,                0.87743,               0.000467,               0.000467,               0.000467
                     36,                 1.2081,                0.64594,                0.88467,                0.97477,                 0.9469,                0.96862,                  0.544,                 1.2026,                0.69652,                0.88008,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.2207,                0.66182,                0.88027,                0.96418,                0.95084,                0.97127,                0.52958,                 1.2508,                0.69644,                 0.8843,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.1818,                0.63957,                0.88435,                0.97277,                0.95167,                0.97323,                0.54094,                  1.237,                0.67739,                0.87758,             0.00038211,             0.00038211,             0.00038211
                     39,                  1.143,                0.60596,                0.87373,                0.96763,                0.96322,                0.97314,                0.55067,                 1.1801,                0.65116,                0.87235,             0.00035382,             0.00035382,             0.00035382
                     40,                  1.188,                0.63945,                0.87184,                0.97839,                0.95096,                0.97108,                0.53381,                 1.2208,                0.66052,                0.87237,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.1517,                0.63581,                0.87476,                0.96558,                0.95863,                0.96796,                0.54866,                 1.1824,                0.67154,                0.86608,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.1476,                0.62059,                0.88235,                0.97122,                0.95449,                0.96808,                0.53396,                 1.2132,                0.67261,                0.87474,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.1455,                0.62084,                0.87473,                 0.9759,                0.95685,                0.97036,                0.55092,                 1.1995,                0.65378,                0.87172,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.1308,                0.60753,                0.87549,                0.98342,                0.94871,                0.96745,                0.51087,                  1.237,                0.67581,                0.87841,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.1208,                0.60501,                0.87759,                0.97254,                0.96419,                 0.9678,                0.54136,                 1.2167,                0.64394,                0.86813,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.1242,                 0.6048,                0.87139,                0.97926,                0.95365,                 0.9684,                0.53808,                 1.2117,                0.65397,                0.87049,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.1213,                 0.5993,                0.87559,                 0.9743,                0.95747,                0.96922,                0.54978,                 1.1878,                0.64264,                0.86919,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.0944,                0.59165,                0.86997,                0.95924,                0.93866,                0.95786,                0.52833,                 1.2125,                0.65238,                0.87185,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.0727,                0.57655,                0.86356,                0.96192,                0.94135,                0.95396,                0.53048,                 1.1986,                0.64534,                0.87114,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                  1.074,                0.57294,                0.86226,                0.96657,                0.94859,                0.96018,                0.52941,                 1.1981,                0.64139,                0.87089,             4.2584e-05,             4.2584e-05,             4.2584e-05
